세그먼트,class_id,운동종목,선호점수비율,클래스참여율,세그먼트참여율,Lift,참여가중인원
성인_여성,성인_여성_LC1,"육상(걷기, 달리기 제외한 종목)",0.0027,0.0035,0.0903,0.0387,0.0386
성인_여성,성인_여성_LC1,"빙상(아이스하키, 스케이팅 포함)",0.0002,0.0006,0.0452,0.0141,0.007
성인_여성,성인_여성_LC1,인라인스케이트,0.0,0.0,0.1355,0.0001,0.0001
성인_여성,성인_여성_LC2,걷기(속보 포함),39.9852,47.4297,41.8699,1.1328,290.1684
성인_여성,성인_여성_LC2,등산,10.1513,12.927,7.8139,1.6544,79.0858
성인_여성,성인_여성_LC2,배드민턴,6.6223,8.0028,6.0524,1.3223,48.9599
성인_여성,성인_여성_LC2,"요가, 필라테스, 태보",5.7432,6.9972,20.5962,0.3397,42.8079
성인_여성,성인_여성_LC2,"수영+아쿠아로빅, 수중발레+수구",4.9862,5.9468,10.4336,0.57,36.3819
성인_여성,성인_여성_LC2,"달리기(조깅, 마라톤 포함)",4.268,5.7655,4.9232,1.1711,35.2723
성인_여성,성인_여성_LC2,줄넘기,3.2614,4.1706,3.4779,1.1992,25.5152
성인_여성,성인_여성_LC2,골프,3.1828,3.8329,4.2005,0.9125,23.4494
성인_여성,성인_여성_LC2,"자전거, 사이클, 산악자전거",2.5005,3.2313,2.981,1.084,19.7687
성인_여성,성인_여성_LC2,"체조(맨손체조, 생활체조)",2.4577,3.4233,5.8266,0.5875,20.9431
성인_여성,성인_여성_LC2,[구기 및 라켓류] 그 외 종목,2.387,3.098,2.3939,1.2941,18.9532
성인_여성,성인_여성_LC2,보디빌딩(헬스),2.2741,2.7592,12.4661,0.2213,16.8804
성인_여성,성인_여성_LC2,훌라후프,1.8045,2.93,2.6649,1.0995,17.9255
성인_여성,성인_여성_LC2,배구,1.2192,1.4514,0.4517,3.2135,8.8796
성인_여성,성인_여성_LC2,농구,1.1937,1.4394,0.813,1.7705,8.8064
성인_여성,성인_여성_LC2,테니스+정구,1.1835,1.3776,1.8067,0.7625,8.4277
성인_여성,성인_여성_LC2,탁구,0.9973,1.2031,1.7615,0.683,7.3603
성인_여성,성인_여성_LC2,[레저 스포츠] 그 외 종목,0.9676,1.2548,0.4517,2.7782,7.6769
성인_여성,성인_여성_LC2,댄스스포츠,0.9217,1.1978,2.0325,0.5893,7.3278
성인_여성,성인_여성_LC2,에어로빅,0.6797,0.9164,1.4905,0.6148,5.6061
성인_여성,성인_여성_LC2,"축구, 풋살",0.6699,0.7865,0.4517,1.7413,4.8118
성인_여성,성인_여성_LC2,족구,0.4312,0.4989,0.271,1.8408,3.0519
성인_여성,성인_여성_LC2,인라인스케이트,0.4278,0.4903,0.1355,3.6187,2.9999
성인_여성,성인_여성_LC2,야구+소프트볼,0.3933,0.5032,0.2258,2.2284,3.0788
성인_여성,성인_여성_LC2,낚시,0.2412,0.335,0.1807,1.854,2.0492
성인_여성,성인_여성_LC2,[무도/격투기] 그 외 종목,0.2339,0.2753,1.2647,0.2177,1.6841
성인_여성,성인_여성_LC2,[체력 단련 및 생활 운동] 그 외 종목,0.2259,0.2611,0.3162,0.8257,1.5971
성인_여성,성인_여성_LC2,"육상(걷기, 달리기 제외한 종목)",0.1783,0.2043,0.0903,2.2618,1.25
성인_여성,성인_여성_LC2,승마,0.152,0.1797,0.0903,1.9891,1.0993
성인_여성,성인_여성_LC2,암벽등반,0.148,0.195,0.4968,0.3924,1.1928
성인_여성,성인_여성_LC2,게이트볼,0.0975,0.112,0.0903,1.2397,0.6851
성인_여성,성인_여성_LC2,"빙상(아이스하키, 스케이팅 포함)",0.0144,0.0496,0.0452,1.099,0.3037
성인_여성,성인_여성_LC3,걷기(속보 포함),42.3893,56.3362,41.8699,1.3455,280.8493
성인_여성,성인_여성_LC3,보디빌딩(헬스),8.0901,10.7309,12.4661,0.8608,53.4961
성인_여성,성인_여성_LC3,"요가, 필라테스, 태보",7.8111,11.2602,20.5962,0.5467,56.135
성인_여성,성인_여성_LC3,"체조(맨손체조, 생활체조)",6.6811,9.9221,5.8266,1.7029,49.4643
성인_여성,성인_여성_LC3,골프,5.7762,7.6791,4.2005,1.8281,38.282
성인_여성,성인_여성_LC3,"수영+아쿠아로빅, 수중발레+수구",4.5971,6.9117,10.4336,0.6624,34.4566
성인_여성,성인_여성_LC3,등산,3.6462,6.9665,7.8139,0.8916,34.7296
성인_여성,성인_여성_LC3,배드민턴,3.2059,4.2887,6.0524,0.7086,21.3804
성인_여성,성인_여성_LC3,"자전거, 사이클, 산악자전거",3.0713,4.407,2.981,1.4784,21.9701
성인_여성,성인_여성_LC3,줄넘기,2.5221,3.8136,3.4779,1.0965,19.0116
성인_여성,성인_여성_LC3,훌라후프,2.3468,3.8525,2.6649,1.4457,19.2058
성인_여성,성인_여성_LC3,"달리기(조깅, 마라톤 포함)",2.1397,3.5117,4.9232,0.7133,17.5068
성인_여성,성인_여성_LC3,[구기 및 라켓류] 그 외 종목,2.0065,2.9253,2.3939,1.222,14.5832
성인_여성,성인_여성_LC3,탁구,1.2756,1.9318,1.7615,1.0967,9.6304
성인_여성,성인_여성_LC3,테니스+정구,1.0908,1.3706,1.8067,0.7587,6.833
성인_여성,성인_여성_LC3,댄스스포츠,0.7281,1.1173,2.0325,0.5497,5.57
성인_여성,성인_여성_LC3,농구,0.6222,0.8859,0.813,1.0897,4.4165
성인_여성,성인_여성_LC3,"축구, 풋살",0.5001,0.7525,0.4517,1.666,3.7514
성인_여성,성인_여성_LC3,암벽등반,0.3184,0.4662,0.4968,0.9383,2.324
성인_여성,성인_여성_LC3,[체력 단련 및 생활 운동] 그 외 종목,0.2769,0.4102,0.3162,1.2975,2.0451
성인_여성,성인_여성_LC3,에어로빅,0.2478,0.5081,1.4905,0.3409,2.5329
성인_여성,성인_여성_LC3,게이트볼,0.1424,0.2436,0.0903,2.6964,1.2143
성인_여성,성인_여성_LC3,족구,0.1239,0.2335,0.271,0.8614,1.1638
성인_여성,성인_여성_LC3,"육상(걷기, 달리기 제외한 종목)",0.1136,0.1427,0.0903,1.5797,0.7114
성인_여성,성인_여성_LC3,[무도/격투기] 그 외 종목,0.0544,0.069,1.2647,0.0545,0.3438
성인_여성,성인_여성_LC3,[레저 스포츠] 그 외 종목,0.0532,0.2,0.4517,0.4429,0.9973
성인_여성,성인_여성_LC3,야구+소프트볼,0.0501,0.1885,0.2258,0.8348,0.9399
성인_여성,성인_여성_LC3,낚시,0.0479,0.1465,0.1807,0.811,0.7304
성인_여성,성인_여성_LC3,"빙상(아이스하키, 스케이팅 포함)",0.0367,0.1383,0.0452,3.0612,0.6893
성인_여성,성인_여성_LC3,승마,0.0339,0.0638,0.0903,0.7067,0.3183
성인_여성,성인_여성_LC3,배구,0.0006,0.0007,0.4517,0.0016,0.0036
성인_여성,성인_여성_LC3,인라인스케이트,0.0,0.0,0.1355,0.0001,0.0001
