이름,자치구,위도,경도
서소문KAL빌딩,중구,37.5633387369,126.9743182567
동국대입구.앰배서더호텔,중구,37.5597717116,127.0026102024
광화문,중구,37.5687990002,126.9769067873
시청.덕수궁,중구,37.566254,126.976921
바비엥스위트,중구,37.5651089852,126.9676372948
서울역,중구,37.5578195556,126.9728595843
명동역.세종호텔,중구,37.5610860085,126.9864492986
충무로역.호텔피제이,중구,37.5617180187,126.9955605031
남대문시장,중구,37.560967378,126.9787309255
이비스엠버서더호텔,중구,37.5643534324,126.9823877131
프레이저플레이스,중구,37.5628476779,126.9692683016
아카시아호텔.웨스턴코업레지던스,중구,37.5665506121,127.0034786985
을지로코업레지던스,중구,37.5662333554,127.0053974501
토요코인호텔.이비스버젯호텔,중구,37.5645913489,127.0089472544
약수역,중구,37.5537889625,127.0098978294
남산밀레니엄힐튼호텔,중구,37.5554665731,126.9759752961
서울역,중구,37.5580158041,126.9720456834
숭례문라마다&스위트호텔,중구,37.5606109591,126.9720684843
시청역더플라자호텔,중구,37.564836,126.978066
시청.서울신문사,중구,37.568299316,126.9773647244
프레이저플레이스남대문,중구,37.5613760047,126.9762665716
프레이저플레이스남대문,중구,37.5610667807,126.9755365701
동대문역사문화공원,중구,37.5653851887,127.009245066
광희동더스프라지르서울동대문,중구,37.5647333277,127.0075552593
동대문디자인플라자DDP,중구,37.5678529085,127.009213839
베이튼호텔,중구,37.5649993215,127.0026364414
광화문,중구,37.5689435666,126.9768853297
덕수궁,중구,37.566106,126.976925
남대문시장,중구,37.5609231539,126.9753967375
명동,중구,37.5607583289,126.9856194882
남산골한옥마을,중구,37.5609950561,126.9924383581
앰버서더호텔,중구,37.5604635042,127.0026253879
신라호텔,중구,37.5583034007,127.0054272005
동대문디자인플라자.동대문시장,중구,37.5668754028,127.0085549376
동대문디자인프라자,중구,37.5677625606,127.0091304267
방산.중부시장,중구,37.5668568761,126.9994422877
을지로3가,중구,37.5665349097,126.9923255915
을지로입구,중구,37.5661309607,126.981001305
명동입구,중구,37.5641526235,126.9823015539
신당동중앙시장,중구,37.5657553187,127.0194166277
남산오르미,중구,37.5581940477,126.9831348601
남산서울타워,중구,37.5510144684,126.9911947846
남산서울타워,중구,37.5511419911,126.9909861872
경찰청.동북아역사재단,중구,37.5624764161,126.9692243077
경찰청.동북아역사재단,중구,37.564312,126.968047
봉림교,관악구,37.4847770708,126.9245166934
신대방역,관악구,37.4866047302,126.9130382377
신대방역,관악구,37.486768682,126.9129713295
봉천고개.관악현대아파트,관악구,37.4913451421,126.956601184
구로디지털단지역,관악구,37.4839345974,126.9024471276
구로디지털단지역,관악구,37.4839770128,126.9024669147
사당자동차학원,관악구,37.471427,126.983217
사당역,관악구,37.4748233089,126.9817223705
서울미술고.인헌중고,관악구,37.4764663412,126.9655544411
낙성대입구,관악구,37.4779096847,126.9618756708
행운동주민센터,관악구,37.4798444396,126.9568690307
서울대입구역5번출구,관악구,37.4816281486,126.951014176
KT관악지점,관악구,37.4820390166,126.9471913134
