기준일ID,시간대구분,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수,자치구
20260715,16,405204.8631,10967.7323,5328.0996,9256.77,18548.712,23978.7848,18899.7299,18925.5388,16485.4412,16998.607,14675.0858,13864.2754,10391.8873,7076.7785,16579.3571,9875.9437,4799.8776,9125.9782,20872.8237,21551.4003,16729.072,16280.5321,13883.5658,14665.3612,13145.2957,13979.4953,11518.0605,9391.6424,27409.0058,관악구
20260715,17,362411.5464,4030.8447,1590.3064,3589.344,8594.7135,14393.1712,17154.6537,21806.1163,21721.7245,23138.7446,18514.4648,15703.6084,9262.2928,5830.8791,11055.3933,3385.3592,1474.73,5034.162,16732.6851,23043.7475,20910.7422,22379.3327,19139.0515,18690.3543,14533.0493,12830.2417,8792.4657,5594.7114,13484.6573,중구
20260715,17,414338.7212,10978.1063,5327.2696,9214.1724,18442.6441,24558.4915,19728.555,19420.6171,16828.214,17663.3338,15002.1493,14298.5456,10639.1599,7297.045,17043.6549,9889.8835,4820.143,9166.5295,21313.5501,22852.2613,17713.2207,16611.1732,14121.8341,14831.6001,13323.2822,14226.4188,11766.7048,9581.9037,27678.2657,관악구
20260715,18,300824.2903,4195.0534,1597.906,3575.3673,8164.5167,12222.8393,13643.2775,17534.4998,17598.968,18580.4511,15372.5338,13145.186,7953.0349,5018.7841,9567.8345,3325.1539,1460.2142,4987.8667,15083.0288,18471.1731,16368.752,17413.2519,14614.7526,14346.2839,11334.805,10285.632,7642.153,4966.9862,12353.9831,중구
20260715,18,433518.1887,11100.2075,5377.735,9134.6643,18542.1699,26757.9341,21680.4897,21012.8382,17395.1811,18200.7974,15823.3822,14785.7589,10820.8718,7355.9488,16993.6423,10020.5278,4903.9898,8978.8695,22342.8421,26263.1619,19840.8716,18237.99,14529.9189,15404.1366,13852.193,14581.156,12100.5061,9766.9835,27713.4169,관악구
20260715,19,267251.9505,3877.1735,1508.8546,3408.6182,7978.955,11127.1217,12013.3663,15129.2054,15024.5012,15814.3266,13097.4744,11434.7305,7117.642,4519.2902,8750.9337,3156.0469,1377.3442,4649.5503,14524.4886,16389.5565,13937.991,14757.1817,12646.922,12272.1862,9793.3267,9165.6588,7090.2914,4751.0718,11938.1464,중구
20260715,19,446042.4726,10936.8148,5316.4872,9051.1221,18844.998,28141.1237,22988.8742,22020.1623,17652.3121,18502.7156,16067.6718,14972.4435,10939.3039,7403.5061,17093.3327,10074.5968,4894.3533,9047.4943,23308.8645,28817.4625,21265.3275,19008.4923,15067.2168,15523.2795,14036.012,14956.8921,12206.0302,9915.4567,27990.1167,관악구
20260715,20,237517.0447,3592.0457,1439.0908,3283.2831,7468.2157,10162.0004,10765.0126,13355.7532,13232.4033,13527.3337,11353.4617,10134.8152,6384.7958,4117.3142,7947.7775,3266.2936,1408.1577,4325.0022,12782.4418,14050.3286,11994.0302,12774.5568,10687.8823,10408.2332,8593.4267,8204.4764,6484.3178,4356.7619,11417.8303,중구
20260715,20,458584.4741,10679.9253,5185.4343,9014.7508,19202.6793,29739.3726,24408.2468,22975.0329,18148.4898,18625.2256,16473.4407,15146.0364,11039.7262,7560.7902,17057.3035,10184.5909,4935.6766,9143.2053,24248.3615,31180.2645,22755.2594,19595.2907,15481.3743,15878.8837,14201.4049,15174.1483,12402.7905,9929.4824,28217.2862,관악구
20260715,21,210467.9495,3689.0982,1477.0279,3049.3611,6968.2278,8884.1359,9698.8099,11652.8449,11547.6213,11702.4215,9467.3769,8580.4594,5662.4435,3732.8063,7429.7302,2917.0366,1270.8432,3906.0267,11503.5632,12023.6078,10336.1294,11151.4834,9498.8537,9003.893,7346.4215,7221.7573,5845.3877,4006.5417,10894.0415,중구
20260715,21,470420.0951,10680.0899,5193.1263,9223.0334,19866.6555,31168.3786,25441.5342,23616.2514,18432.6495,18950.5112,16782.5444,15264.2295,11212.7928,7605.565,17143.2817,10310.8466,5005.0656,9149.2688,25302.9367,33333.8558,23818.7597,20114.7038,15819.2628,16083.127,14425.4939,15401.6468,12646.4595,10127.6728,28300.3534,관악구
20260715,22,189932.8216,3555.7011,1443.7337,2922.4724,6260.7831,7835.7344,8802.9623,10424.3206,10310.6059,10401.475,8293.6023,7836.8765,5192.4985,3442.4621,7081.2099,3066.2248,1329.5049,3668.3197,9453.2599,10038.7812,8952.547,9780.8914,8620.9466,8028.4347,6776.9388,6514.1432,5402.1136,3823.9333,10672.3432,중구
20260715,22,482001.1322,10739.4366,5217.2449,9441.0199,20786.1295,32700.9857,26482.5171,24300.7164,18696.4089,19404.256,16957.1768,15343.3983,11343.4306,7582.6662,17210.4658,10394.495,5012.4161,9390.8064,26515.8306,35033.5748,24984.2058,20742.6982,15983.7625,16327.3185,14564.832,15631.3631,12664.0038,10168.9519,28381.0229,관악구
20260715,23,162408.8383,3444.5278,1394.0099,2636.9981,5304.4745,6385.1258,7264.4287,8682.4637,8538.7924,8551.4127,6962.146,6787.3508,4610.5192,3104.3604,6613.0893,3030.4154,1282.4358,3269.7307,7240.5715,7790.2639,7296.5726,8072.9068,7331.1626,6579.3171,5815.5241,5825.6702,4773.5453,3543.0839,10277.9406,중구
20260715,23,502507.9276,10699.8595,5197.1889,9633.0067,21810.7026,35430.6223,28359.967,25555.8592,19560.1418,20230.4737,17452.7824,15818.1699,11577.4966,7775.8933,17558.3328,10410.709,5050.8914,9803.2576,28582.0146,37686.323,26770.3047,21739.8832,16495.902,16886.015,14885.3895,15930.0902,12766.5318,10329.1427,28510.9774,관악구
20260714,0,155607.9371,3195.1807,1293.3437,2446.5684,4914.1722,5811.9463,6780.3505,8387.5757,7999.0327,7893.3134,6604.7563,6672.678,4564.0408,3074.8738,6519.0301,3018.458,1292.7542,2964.3601,6513.4754,7233.4997,6928.9551,7911.4253,7020.7593,6426.6701,5676.6829,5844.6163,4828.8292,3500.3781,10290.2098,중구
20260714,0,506881.3079,10700.7325,5187.0288,9821.4415,22183.3689,35663.1838,28881.1077,25904.4711,19336.5428,20342.9967,17408.9396,15855.9341,11585.2814,7824.7597,17672.1007,10379.8356,5038.1831,9803.4657,29196.4013,38753.8232,27368.053,21868.5616,16686.4318,17081.0306,14942.7135,15746.6826,12791.4383,10327.0366,28529.769,관악구
20260714,1,154079.1622,3170.2717,1272.4478,2428.9561,4834.7094,5726.4168,6685.877,8363.4675,7897.9462,7827.9761,6500.8375,6530.2989,4467.4583,3009.2833,6519.5605,3064.7024,1300.8897,2943.3932,6370.9874,7097.0633,6905.9171,7903.1308,7012.0221,6361.6192,5668.8205,5741.4544,4724.8571,3523.6193,10225.1806,중구
20260714,1,507501.8992,10678.4566,5176.0868,9816.8607,22266.4808,35800.534,28923.793,26038.8745,19379.0078,20336.9805,17370.2126,15818.6729,11618.5309,7824.537,17680.5227,10400.7636,5051.8874,9805.054,29283.8295,38793.2318,27307.5038,21889.1604,16666.0324,17155.4808,14988.6473,15756.9019,12832.8266,10319.7138,28521.3116,관악구
20260714,2,151950.2947,3314.0017,1312.9331,2420.0603,4666.1455,5678.4763,6568.6957,8082.0237,7787.0581,7542.9963,6449.0734,6473.143,4409.4311,3011.3824,6446.8821,3075.1918,1305.5653,2939.0427,6260.8607,6997.7272,6839.7696,7801.1766,6846.6177,6272.4634,5630.3653,5607.6024,4635.6855,3465.6372,10110.2856,중구
20260714,2,508080.4397,10726.6032,5191.4508,9785.9192,22321.788,35852.761,28985.5099,26051.0082,19404.7021,20377.3278,17467.9956,15864.5309,11640.7309,7808.9615,17713.8156,10327.0766,5014.0426,9817.4694,29375.9932,38861.2277,27347.2688,21958.5444,16682.6021,17134.3896,15000.4354,15738.9153,12798.4021,10327.3141,28503.6477,관악구
20260714,3,150676.4713,3258.2929,1292.8494,2391.8785,4574.31,5588.2238,6416.2626,7936.8797,7618.4165,7514.8935,6395.63,6419.6175,4412.5857,3003.2354,6508.0164,3143.3649,1337.0497,2945.0002,6203.5165,6908.6445,6811.1792,7830.3047,6749.5507,6181.7407,5544.1968,5532.9748,4638.5316,3459.2175,10060.1143,중구
20260714,3,508249.5203,10806.9725,5225.197,9853.2549,22401.3827,35905.2068,29003.2773,26057.8393,19332.4447,20393.1448,17477.2763,15803.1046,11627.8851,7817.7406,17649.0022,10411.3006,5046.0746,9783.8309,29483.4685,38858.5393,27364.7615,21904.1567,16694.9481,17143.8041,14944.7964,15698.0491,12782.7529,10315.6639,28463.64,관악구
20260714,4,150621.2447,3224.2039,1284.1462,2364.7877,4566.2662,5447.2779,6277.2736,7866.1446,7540.8758,7370.9169,6507.0108,6447.2917,4489.5862,3157.546,6603.7361,3102.6731,1310.6521,2908.4233,6078.9279,6847.354,6749.1322,7715.2539,6599.1142,6106.2801,5497.2604,5612.8071,4804.6416,3631.3158,10510.3429,중구
20260714,4,506880.3584,10774.512,5218.3205,9776.8504,22378.4092,35870.157,29010.8119,26031.7482,19363.5541,20300.3218,17290.6154,15735.9396,11548.4867,7750.1461,17509.8124,10408.4802,5050.838,9803.0274,29460.3886,38852.7054,27323.2909,21832.6754,16663.1392,17179.6663,14936.8775,15652.7514,12681.5281,10181.8531,28293.4505,관악구
20260714,5,153572.3823,3157.9485,1258.3175,2365.4291,4529.1698,5401.1196,6253.764,7795.0352,7624.8591,7756.0669,6890.6571,6871.089,4825.0388,3288.7935,6911.0046,3094.3266,1316.55,2957.6358,6038.9948,6752.4831,6688.6678,7603.8423,6622.3032,6149.453,5613.5211,5844.3824,5106.1683,3839.774,11015.9874,중구
20260714,5,504347.7909,10807.1921,5225.7597,9762.9787,22368.8943,35700.7795,28939.3172,26005.0193,19310.9481,20241.0065,17079.2714,15582.1717,11301.2311,7654.2216,17220.3413,10403.7227,5040.5602,9803.9893,29379.91,38691.0605,27284.2184,21832.0286,16602.9949,17155.2018,14899.595,15575.7202,12514.1395,10056.8306,27908.6874,관악구
20260714,6,172150.314,3309.7033,1303.2866,2518.0901,4659.6451,5909.558,6825.1408,8705.5816,8941.292,9697.1977,8682.5003,8866.2299,5944.1921,3953.1612,7707.4714,3137.5877,1337.6519,3051.3163,6371.6775,7250.5934,7184.0216,8266.0723,7249.5888,6672.4671,6285.6239,6527.6165,5698.6722,4259.8141,11834.5637,중구
20260714,6,497173.1601,10830.8272,5240.4599,9798.8599,22209.247,34941.8648,28391.9055,25621.0731,19193.7972,19839.3024,16658.3683,15138.528,10811.3236,7423.1828,16715.6488,10420.3908,5054.2247,9766.0944,29068.1395,38184.5672,26922.9868,21756.4727,16620.1151,16966.2205,14699.6128,15277.1119,12328.8358,9852.063,27441.9394,관악구
20260714,7,222172.6231,3739.3527,1399.4084,2987.1368,4991.1174,7179.6569,9022.004,12328.5884,13118.4285,14595.8709,12881.0614,11905.6328,7217.8217,4726.9363,8688.3803,3858.2806,1722.0107,4407.8805,7264.5635,9579.1871,9601.8684,11372.2107,9898.997,9493.0335,8147.6513,8016.6445,6547.1734,4731.5054,12750.219,중구
20260714,7,480607.5384,10683.6186,5190.4985,9670.6634,21728.2365,33258.2942,26467.8583,24309.1699,18427.8143,19133.0903,15836.4251,14416.7992,10413.6858,7234.0651,16427.5516,10349.3508,5036.6192,10811.3411,28239.8062,35962.3877,25476.5167,20976.3651,16201.5499,16481.6246,14278.5924,14795.4601,12104.3009,9619.9813,27075.8601,관악구
20260714,8,318673.8818,4268.752,1574.0144,3993.3464,5854.3687,11278.6908,14726.697,19545.2869,20045.6169,21305.6424,17683.5479,14970.4972,8739.9222,5547.5472,10009.2259,4652.2869,2169.1064,4955.4949,10333.4697,17431.8211,17248.8191,19512.8205,16362.6159,16034.9468,12238.8931,10930.9677,8003.0861,5573.4259,13682.9697,중구
20260714,8,446640.2267,10471.7456,5183.2842,9612.5739,20879.6575,28706.9944,23003.18,21908.1311,17281.5736,18311.3982,14951.0728,14156.8013,10383.1414,7059.2389,16074.6504,9916.0502,4862.6151,10842.0042,25771.2114,29797.1426,21679.4859,18893.9473,15085.1582,15797.2893,13782.2382,14316.3019,11724.762,9350.9884,26837.5884,관악구
20260714,9,370095.4861,4332.6598,1562.7931,4115.2338,6708.925,12994.4199,16903.206,22831.6005,23112.5364,23922.5764,19767.7859,16677.5468,9927.2164,6265.594,11361.5219,4561.9308,2139.0691,5277.6303,12489.7874,21229.418,20930.5104,23519.4578,20093.0766,19045.7276,14863.8792,13204.0378,9828.4683,6761.9242,15666.9544,중구
20260714,9,422980.2319,10253.5188,5092.0923,9541.0392,20063.2282,26121.3712,20566.1364,20202.8969,16710.2697,17781.3265,14640.777,13838.6345,10190.6446,7086.5133,16005.3188,9762.1206,4805.834,10718.9546,23718.7438,25250.7826,18982.8533,17567.762,14718.7662,15280.2514,13297.6478,13784.8847,11305.7741,9135.5341,26556.5552,관악구
20260714,10,395522.2454,4367.7618,1556.79,4168.8774,7240.4585,13824.0061,17830.2899,23682.915,24010.8042,25117.2446,20749.38,17714.2477,10666.3908,6716.9221,12563.6575,4621.0183,2161.5345,5603.8712,13494.6382,22427.664,22320.1017,25503.407,21799.2389,21093.8703,15978.4413,14424.5477,10746.5384,7491.1272,17646.5045,중구
20260714,10,413304.7924,10239.7021,5090.1393,9488.4861,19502.4135,25209.6359,19748.7635,19594.228,16481.1158,17514.9084,14639.5655,13714.8044,10140.026,6986.0226,15827.4811,9822.5031,4823.8125,10648.3867,22960.0632,23691.3355,17907.5498,16946.302,14310.7746,14987.4954,13151.8822,13529.9399,11185.6521,9008.7892,26153.0171,관악구
