정류소번호,정류소명,경도,위도,정류소타입,자치구
101900011,시청역,126.97701,37.566031,마을버스,중구
101900012,서울역,126.9714245129,37.5581897679,마을버스,중구
101900007,숭례문앞,126.976236105,37.5615164368,마을버스,중구
101900006,시청역1호선.서울시청,126.977339075,37.5673960903,마을버스,중구
101900005,신당역하나은행,127.0215878668,37.5654231103,마을버스,중구
101900004,염천교,126.9711136524,37.5597925744,마을버스,중구
101900003,한국경제신문사,126.9679526472,37.5609334062,마을버스,중구
101900023,서울방송고등학교.남산타운아파트,127.012409789,37.5495860191,마을버스,중구
101900022,서울방송고등학교.남산타운아파트,127.0122783521,37.5496119425,마을버스,중구
101900021,중구청소년센터.남산타운2상가,127.012751162,37.5516549062,마을버스,중구
101900020,중구청소년센터.남산타운2상가,127.0121655599,37.5519027425,마을버스,중구
101900019,약수시장.남산타운동문,127.0108500123,37.5517332168,마을버스,중구
101900018,약수지구대,127.0119577646,37.5528410964,마을버스,중구
101000173,남대문시장,126.979397311,37.5614284556,가로변시간,중구
101000277,을지로입구역롯데호텔,126.9803053067,37.5658047183,일반차로,중구
101000298,소공동웨스틴조선호텔,126.9796461336,37.5645178283,일반차로,중구
101000301,서울광장,126.978885,37.565352,일반차로,중구
101000275,광화문코리아나호텔,126.97690745,37.5684013914,일반차로,중구
101000276,서소문KAL빌딩,126.9743182567,37.5633387369,일반차로,중구
101000273,동국대입구.앰배서더호텔,127.0026102024,37.5597717116,일반차로,중구
101000226,광화문,126.9769067873,37.5687990002,일반차로,중구
101000227,시청.덕수궁,126.976921,37.566254,일반차로,중구
101000229,바비엥스위트,126.9676372948,37.5651089852,일반차로,중구
101000230,서울역,126.9728595843,37.5578195556,일반차로,중구
101000234,명동역.세종호텔,126.9864492986,37.5610860085,일반차로,중구
101000244,충무로역.호텔피제이,126.9955605031,37.5617180187,일반차로,중구
101000245,남대문시장,126.9787309255,37.560967378,가로변시간,중구
101000246,이비스엠버서더호텔,126.9823877131,37.5643534324,가로변전일,중구
101000247,프레이저플레이스,126.9692683016,37.5628476779,일반차로,중구
101000257,아카시아호텔.웨스턴코업레지던스,127.0034786985,37.5665506121,일반차로,중구
101000256,을지로코업레지던스,127.0053974501,37.5662333554,일반차로,중구
101000255,토요코인호텔.이비스버젯호텔,127.0089472544,37.5645913489,일반차로,중구
101000271,약수역,127.0098978294,37.5537889625,일반차로,중구
101000270,남산밀레니엄힐튼호텔,126.9759752961,37.5554665731,일반차로,중구
101000269,서울역,126.9720456834,37.5580158041,일반차로,중구
101000268,숭례문라마다&스위트호텔,126.9720684843,37.5606109591,일반차로,중구
101000279,시청역더플라자호텔,126.978066,37.564836,일반차로,중구
101000286,시청.서울신문사,126.9773647244,37.568299316,일반차로,중구
101000288,프레이저플레이스남대문,126.9762665716,37.5613760047,일반차로,중구
101000287,프레이저플레이스남대문,126.9755365701,37.5610667807,일반차로,중구
101000289,동대문역사문화공원,127.009245066,37.5653851887,일반차로,중구
101000297,광희동더스프라지르서울동대문,127.0075552593,37.5647333277,일반차로,중구
101000296,동대문디자인플라자DDP,127.009213839,37.5678529085,일반차로,중구
101000299,베이튼호텔,127.0026364414,37.5649993215,일반차로,중구
101000316,광화문,126.9768853297,37.5689435666,일반차로,중구
101000317,덕수궁,126.976925,37.566106,일반차로,중구
101000318,남대문시장,126.9753967375,37.5609231539,일반차로,중구
101000319,명동,126.9856194882,37.5607583289,일반차로,중구
101000320,남산골한옥마을,126.9924383581,37.5609950561,일반차로,중구
101000321,앰버서더호텔,127.0026253879,37.5604635042,일반차로,중구
101000322,신라호텔,127.0054272005,37.5583034007,일반차로,중구
101000324,동대문디자인플라자.동대문시장,127.0085549376,37.5668754028,일반차로,중구
101000308,동대문디자인프라자,127.0091304267,37.5677625606,일반차로,중구
101000309,방산.중부시장,126.9994422877,37.5668568761,일반차로,중구
101000310,을지로3가,126.9923255915,37.5665349097,일반차로,중구
101000311,을지로입구,126.981001305,37.5661309607,일반차로,중구
101000312,명동입구,126.9823015539,37.5641526235,가로변전일,중구
101000314,신당동중앙시장,127.0194166277,37.5657553187,일반차로,중구
101000315,남산오르미,126.9831348601,37.5581940477,일반차로,중구
102000226,남산서울타워,126.9911947846,37.5510144684,일반차로,중구
101000323,남산서울타워,126.9909861872,37.5511419911,일반차로,중구
112000399,경찰청.동북아역사재단,126.9692243077,37.5624764161,중앙차로,중구
101000332,경찰청.동북아역사재단,126.968047,37.564312,중앙차로,중구
120000201,봉림교,126.9245166934,37.4847770708,일반차로,관악구
120000435,신대방역,126.9130382377,37.4866047302,일반차로,관악구
120000427,신대방역,126.9129713295,37.486768682,일반차로,관악구
119900281,봉천고개.관악현대아파트,126.956601184,37.4913451421,마을버스,관악구
120000001,구로디지털단지역,126.9024471276,37.4839345974,중앙차로,관악구
120000674,구로디지털단지역,126.9024669147,37.4839770128,중앙차로,관악구
120000672,사당자동차학원,126.983217,37.471427,중앙차로,관악구
121001314,사당역,126.9817223705,37.4748233089,중앙차로,관악구
120000002,서울미술고.인헌중고,126.9655544411,37.4764663412,일반차로,관악구
120000003,낙성대입구,126.9618756708,37.4779096847,일반차로,관악구
120000004,행운동주민센터,126.9568690307,37.4798444396,일반차로,관악구
120000005,서울대입구역5번출구,126.951014176,37.4816281486,가로변시간,관악구
120000006,KT관악지점,126.9471913134,37.4820390166,가로변전일,관악구
120000007,봉천역.관악초등학교,126.9431518504,37.4824403435,가로변전일,관악구
120000008,KT&G관악지점,126.9373129096,37.4844754738,가로변시간,관악구
120000009,신림사거리.신림역,126.9278542438,37.4841492836,일반차로,관악구
120000010,남부초등학교,126.922044754,37.4834020208,가로변시간,관악구
120000011,호림박물관,126.9183765847,37.4827231582,가로변시간,관악구
120000012,난곡입구,126.915722964,37.4822370031,가로변시간,관악구
120000013,관악구보훈회관.신림푸르지오,126.9112396639,37.481361666,가로변시간,관악구
120000014,천주교성령봉사회관.등불교회,126.9079578883,37.4807554146,가로변시간,관악구
120000015,KT구로지사,126.9049986272,37.4802646679,가로변시간,관악구
120000016,난곡입구,126.9161388018,37.4819399662,가로변전일,관악구
120000017,남서울중학교.성보중고등학교,126.9210108639,37.4828195546,가로변전일,관악구
120000018,신림사거리.신림역,126.9280626243,37.483817804,일반차로,관악구
120000019,KT&G관악지점,126.936125,37.484533,일반차로,관악구
120000020,봉천역.관악초등학교,126.9431153969,37.4820551447,가로변시간,관악구
120000021,KT관악지점,126.9484610699,37.4814828857,가로변시간,관악구
120000022,서울대입구역1번출구.샤로수길,126.9545837877,37.4803684653,가로변시간,관악구
120000023,낙성대동,126.9573911237,37.4792747849,가로변시간,관악구
120000024,낙성대입구,126.9608874889,37.4778444821,가로변시간,관악구
120000025,인헌중고.서울미술고,126.9666239506,37.4756534429,일반차로,관악구
120000026,예술인마을.사당초등학교,126.9738846758,37.4759368363,일반차로,관악구
120000027,남서울농협남현동지점,126.9773008972,37.476370961,일반차로,관악구
120000028,서울대학교,126.9479522861,37.4667414611,일반차로,관악구
120000029,서울대학교,126.9488427043,37.4668539107,일반차로,관악구
120000030,서울여상.서울문영여중고앞,126.9533001437,37.4731604796,일반차로,관악구
120000031,관악구청,126.9524977507,37.4779819797,일반차로,관악구
120000032,봉천사거리.봉천중앙시장,126.9542258337,37.4828873794,가로변전일,관악구
120000033,봉원중학교.행운동우성아파트,126.9559128703,37.4849010896,가로변시간,관악구
120000034,관악푸르지오아파트,126.9581660971,37.4877034434,일반차로,관악구
120000035,성현동동아아파트,126.957732596,37.488401645,일반차로,관악구
120000036,봉원중학교.행운동우성아파트,126.955335791,37.4848580279,가로변시간,관악구
120000037,봉천사거리.봉천중앙시장,126.9538387042,37.4831545464,일반차로,관악구
120000038,관악구청,126.9521875661,37.4793471271,일반차로,관악구
120000039,관악경찰서.관악소방서,126.952572,37.475253,일반차로,관악구
120000040,서울여상.서울문영여중고앞,126.952845,37.473002,일반차로,관악구
120000041,신림중.삼성고.관악아트홀?도서관,126.944412,37.470352,일반차로,관악구
120000042,서울산업정보학교.삼성교,126.941124806,37.4710142867,일반차로,관악구
120000043,신성초등학교,126.9374233711,37.4710779706,일반차로,관악구
120000044,서울대벤처타운역1번출구,126.933686278,37.473206969,일반차로,관악구
120000045,쑥고개입구,126.9374950813,37.4761917072,일반차로,관악구
120000046,서원역1번출구.신관중학교,126.9323856945,37.4786498144,일반차로,관악구
120000047,신림사거리,126.9300715056,37.4819257882,일반차로,관악구
120000048,신림동별빛거리입구,126.9296319572,37.4858478867,일반차로,관악구
120000049,당곡역.보라매공원.보라매병원,126.9276205633,37.4904418111,일반차로,관악구
120000050,당곡역2번출구.롯데백화점관악점,126.9274852912,37.4900092446,일반차로,관악구
120000051,신림동별빛거리입구,126.929060426,37.4864151799,일반차로,관악구
120000052,신림사거리,126.9296377666,37.482767098,일반차로,관악구
120000053,서원역,126.9327230039,37.4779185578,일반차로,관악구
120000054,서림동주민센터.신화단지,126.9363417324,37.4755291616,일반차로,관악구
120000055,서울대벤처타운역.삼성동시장,126.9329597367,37.4727127526,일반차로,관악구
120000056,대학동고시촌입구,126.938381,37.470538,일반차로,관악구
120000057,서울산업정보학교.삼성교,126.9420276971,37.470573816,일반차로,관악구
120000058,관악산입구.관악아트홀?중앙도서관,126.9468707158,37.4677578665,일반차로,관악구
119000303,당곡역.당곡사거리.롯데백화점,126.9270746638,37.4910041432,일반차로,관악구
120000059,사당역4번출구,126.9813590372,37.4755408508,가로변시간,관악구
120000060,남현동홈플러스앞,126.98253,37.472373,일반차로,관악구
120000061,남태령역,126.987784,37.46557,일반차로,관악구
120000062,낙성대입구,126.9579938257,37.4782931407,일반차로,관악구
120000063,삼성동주민센터,126.9330211856,37.4700056074,일반차로,관악구
120000064,미림고개,126.9319828921,37.4681128919,일반차로,관악구
120000065,미림여고.미림마이스터고등학교,126.931333,37.465641,일반차로,관악구
120000066,신우초등학교,126.93169,37.462487,일반차로,관악구
120000067,삼성산성지,126.929865,37.458825,일반차로,관악구
120000068,산장아파트,126.927725,37.459955,일반차로,관악구
120000069,삼성산주공아파트,126.925109,37.461345,일반차로,관악구
120000070,산복터널.관악산휴먼시아2단지,126.922015,37.458697,일반차로,관악구
120000071,산복터널.관악산휴먼시아2단지,126.9225758449,37.4590812203,일반차로,관악구
120000072,삼성산주공아파트,126.9250910137,37.4611062672,일반차로,관악구
120000073,산장아파트,126.9275003475,37.4597961436,일반차로,관악구
120000074,삼성산성지,126.9298863649,37.4586127523,일반차로,관악구
120000075,신우초등학교,126.9319560545,37.4624107186,일반차로,관악구
120000076,미림여고.미림마이스터고등학교,126.9316212418,37.4651129483,일반차로,관악구
120000077,미림고개.고시촌입구,126.9320992763,37.4677922169,일반차로,관악구
120000078,서울대벤처타운역,126.9335914518,37.4706929498,일반차로,관악구
120000079,쑥고개,126.9403975075,37.478535389,일반차로,관악구
120000080,e편한세상서울대입구아파트,126.9428290096,37.4795321814,일반차로,관악구
120000081,영락고교.영락의료과학고,126.9456223075,37.4792126295,일반차로,관악구
120000082,생모리츠타운,126.947758707,37.479050171,일반차로,관악구
120000083,관악구청,126.9507973533,37.4787271125,일반차로,관악구
120000084,생모리츠타운,126.9476681239,37.4792461009,일반차로,관악구
120000085,영락고교.영락의료과학고,126.9456413962,37.4793964639,일반차로,관악구
120000086,e편한세상서울대입구아파트,126.9429334382,37.4797304539,일반차로,관악구
120000087,쑥고개,126.94012124,37.4786269166,일반차로,관악구
120000088,은천교,126.9358192432,37.4862741791,일반차로,관악구
120000089,봉일시장,126.9387053001,37.4861847891,일반차로,관악구
