서비스명,세부종목,접수상태,유무료,장소명,자치구,경도,위도,예약URL,시작시간,종료시간
훈련원공원종합체육관 종합체육관(풋살장),풋살장,접수중,유료,훈련원공원종합체육관 종합체육관,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=T&amp;base_date=20260601&amp;center=JUNGGU05&amp;type=&amp;part=03&amp;place=2,,
충무스포츠센터 스크린 파크골프장,골프장,접수중,유료,충무스포츠센터,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260101&amp;center=JUNGGU01&amp;type=&amp;part=11&amp;place=14,,
훈련원공원 종합체육관 스크린 파크골프장,골프장,접수중,유료,훈련원공원 종합체육관,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20251231&amp;center=JUNGGU05&amp;type=&amp;part=05&amp;place=3,,
[서울 중구] 충무스포츠센터 수영장,수영장,접수중,유료,충무스포츠센터 수영장,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260601&amp;center=JUNGGU01&amp;type=&amp;part=02&amp;place=6,,
[서울 중구] 회현체육센터 수영장,수영장,접수중,유료,회현체육센터,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260201&amp;center=JUNGGU02&amp;type=&amp;part=10&amp;place=8,,
[서울 중구] 충무스포츠센터 소체육관,체육관,접수중,유료,충무스포츠센터 소체육관,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260601&amp;center=JUNGGU01&amp;type=&amp;part=09&amp;place=2,,
[서울 중구] 충무스포츠센터 다목적체육관1(요가실 등),체육관,접수중,유료,충무스포츠센터 다목적체육관1,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260601&amp;center=JUNGGU01&amp;type=&amp;part=10&amp;place=3,,
[서울 중구] 충무센터 다목적체육관2(필라테스실 등),체육관,접수중,유료,충무스포츠센터 다목적체육관1,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260601&amp;center=JUNGGU01&amp;type=&amp;part=10&amp;place=7,,
[서울 중구] 충무스포츠센터 다목적체육관3(댄스 등),체육관,접수중,유료,충무스포츠센터 다목적체육관1,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260601&amp;center=JUNGGU01&amp;type=&amp;part=10&amp;place=8,,
다목적체육관,체육관,접수중,유료,무학봉체육관 다목적체육관,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260601&amp;center=JUNGGU03&amp;type=&amp;part=02&amp;place=7,,
훈련원공원종합체육관 다목적체육관,체육관,접수중,유료,훈련원공원종합체육관 다목적체육관,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=T&amp;base_date=20260601&amp;center=JUNGGU05&amp;type=&amp;part=02&amp;place=1,,
훈련원공원종합체육관 다목적체육관 1층 (배드민턴),체육관,접수중,유료,훈련원공원종합체육관 다목적체육관,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=T&amp;base_date=20260601&amp;center=JUNGGU05&amp;type=&amp;part=02&amp;place=1,,
손기정문화체육센터 생활체육1실(에어로빅 등),체육관,접수중,유료,손기정문화체육센터 생활체육1실(에어로빅 등),중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=T&amp;base_date=20260701&amp;center=JUNGGU06&amp;type=&amp;part=10&amp;place=10,,
손기정문화체육센터 생활체육2실(요가 등),체육관,접수중,유료,손기정문화체육센터 생활체육2실(요가 등),중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=T&amp;base_date=20260701&amp;center=JUNGGU06&amp;type=&amp;part=11&amp;place=11,,
[서울 중구] 회현체육센터 다목적실(요가실 등),체육관,접수중,유료,회현체육센터,중구,126.98163,37.55604,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=T&amp;base_date=20260201&amp;center=JUNGGU02&amp;type=&amp;part=09&amp;place=7,,
[서울 중구] 충무스포츠센터 대체육관(탁구),탁구장,접수중,유료,충무스포츠센터 탁구장,중구,,,https://www.e-junggu.or.kr/fmcs/314?action=list&amp;facilities_type=C&amp;base_date=20260601&amp;center=JUNGGU01&amp;type=&amp;part=08&amp;place=4,,
